example_id,task_type,answer_type,prompt,prompt_chars,prompt_words,question_start,num_numbers,has_math_symbols,has_code_like_text,question_mark_count,capitalized_word_count,contains_parenthesis,contains_quote,has_comparison_word,has_negation_word,has_quantity_word,cheap_answer_chars,cheap_answer_words,cheap_parsed_answer,cheap_contains_uncertainty,cheap_self_confidence,cheap_sample_agreement,mistral_nemo_correct,mistral_nemo_cost,qwen_235b_correct,qwen_235b_cost,gemini_flash_correct,gemini_flash_cost,llama_70b_correct,llama_70b_cost,deepseek_v3_correct,deepseek_v3_cost
mmlu_humanities_00005_philosophy,humanities,choice,"According to Moore, we are thinking about good whenever we think about:
A. pleasure.
B. things that we desire.
C. intrinsic value.
D. none of the above.",152,27,according,0,0,0,0,2,0,0,0,0,0,545,91,other,0,0.95,1.0,0,7.2e-06,0,2.05e-05,1,0.000315,1,5.02e-05,0,8.308e-05
sciq_00135,science,choice,"What property is defined as the magnitude or size of displacement between two positions?
A. Distance
B. passing
C. distance
D. gravity",134,22,what,0,0,0,1,2,0,0,0,0,0,405,64,other,0,1.0,1.0,0,5.9e-06,0,1.0261e-05,0,0.0004045,0,4.898e-05,0,5.57e-05
gsm8k_00051,math,number,"Every 4 weeks, Helen hand washes her silk pillowcases.  It takes 30 minutes to hand wash all of them.  In 1 year, how much time does Helen spend hand washing her pillowcases?",174,32,every,3,0,0,1,5,0,0,0,0,1,281,52,other,0,1.0,1.0,1,6.26e-06,1,7.518e-05,1,0.0002135,1,3.927e-05,1,6.992e-05
sciq_00008,science,choice,"Attraction of a material by a magnet is an example of what type of property?
A. thermal
B. physical
C. chemical
D. transitive",125,23,attraction,0,0,0,1,1,0,0,0,0,0,622,108,other,0,0.95,1.0,1,7.74e-06,1,5.502e-05,1,0.0001826,1,3.744e-05,1,4.6288e-05
mmlu_humanities_00052_high_school_world_history,humanities,choice,"This question refers to the following information.
Source 1:
""It is impossible to demand that an impossible position should be cleared up by peaceful revision and at the same time constantly reject peaceful revision. It is also impossible to say that he who undertakes to carry out these revisions for himself transgresses a law, since the Versailles ""Diktat"" is not law to us. A signature was forced out of us with pistols at our head and with the threat of hunger for millions of people. And then this document, with our signature, obtained by force, was proclaimed as a solemn law.""
Adolf Hitler, speech to the Reichstag, September 1, 1939
Source 2:
""We shall not flag or fail. We shall go on to the end. We shall fight in France, we shall fight on the seas and the oceans, we shall fight with growing confidence and growing strength in the air, we shall defend our island, whatever the cost may be. We shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.""
Winston Churchill, speech before Parliament, June 4, 1940
Winston Churchill's speech in Source 2 is best understood in the context of which of the following?
A. British support for growing resistance movements in Eastern Europe
B. British trade deals with American manufacturers of military hardware
C. British appeasement of the Axis powers
D. British fears about a possible invasion attempt by Nazi Germany",1486,258,this,7,0,0,1,34,0,1,1,1,0,897,152,other,0,0.9,1.0,0,1.588e-05,1,0.00015004,1,0.0003192,1,0.00010224,1,0.00013582
gsm8k_00055,math,number,"A man is purchasing a pair of sneakers at a club store where he receives a membership discount of 10% off any purchase.  In addition to the membership discount, the man also has a coupon for $10 off any pair of sneakers.  If the man wants to purchase a $120 pair of sneakers and the membership discount must be applied after the coupon, how much will he pay for the sneakers after using both the coupon and membership discount?",427,79,a,3,0,0,1,2,0,0,1,0,0,357,64,other,0,1.0,1.0,1,7.26e-06,1,5.539e-05,1,0.0001207,1,5.322e-05,1,6.542e-05
gsm8k_00148,math,number,Erik's dog can run 24 miles per hour. It is chasing a rabbit that can run 15 miles per hour. The rabbit has a head start of .6 miles. How many minutes does it take for the dog to catch up to the rabbit?,202,45,erik,3,0,0,1,4,0,1,0,0,1,635,125,other,0,1.0,1.0,1,9.92e-06,1,1.93e-05,1,0.000264,1,6.383e-05,1,7.1544e-05
sciq_00002,science,choice,"What is the substance called whenatoms of different elements join together?
A. plants
B. crusts
C. crystals
D. compounds",120,19,what,0,0,0,1,1,0,0,1,0,0,466,72,other,0,1.0,1.0,1,6e-06,1,5.32e-05,1,0.0002067,1,3.401e-05,1,3.5296e-05
mmlu_humanities_00069_world_religions,humanities,choice,"Which deity is the Roman counterpart to the Greek god Zeus?
A. Jupiter
B. Juno
C. Dionysius
D. Neptune",102,19,which,0,0,0,1,8,0,0,0,0,0,200,36,other,0,1.0,1.0,1,1.329e-05,1,1.58e-05,1,0.0001139,1,2.702e-05,1,4.388e-05
strategyqa_b3443bf3c312c9d144e4,commonsense,yesno,Is there a full Neptunian orbit between the first two burials of women in the Panthéon? Answer yes or no.,105,20,is,0,0,0,1,3,0,0,0,1,0,346,60,no,0,1.0,1.0,1,6.14e-06,1,1.5151e-05,1,0.0002509,0,0.0001147,1,8.3296e-05
sciq_00130,science,choice,"What type of organisms are helpless at birth and require lots of help from their parents?
A. precocial organisms
B. altricial organisms
C. multicellular organisms
D. Microorganisms",180,27,what,0,0,0,1,2,0,0,0,0,0,700,102,other,0,1.0,1.0,1,6.77e-06,1,4.26075e-05,1,0.0001872,1,5.188e-05,1,5.99e-05
mmlu_humanities_00037_philosophy,humanities,choice,"Stevenson claims that the primary use of ethical judgments is to:
A. state facts.
B. influence the interests of others.
C. describe one’s own approval of things.
D. none of the above.",183,33,stevenson,0,0,0,0,1,0,0,0,0,0,520,84,other,0,0.95,1.0,1,6.86e-06,1,1.7184e-05,1,0.0002121,1,3.32e-05,1,5.24e-05
mmlu_humanities_00061_philosophy,humanities,choice,"Bentham claims that actions are right or wrong in virtue of:
A. the motives behind them.
B. their consequences.
C. both a and b.
D. neither a nor b.",148,29,bentham,0,0,0,0,1,0,0,0,0,0,401,63,other,0,0.95,1.0,1,5.98e-06,1,1.21e-05,1,0.0001956,1,4.371e-05,1,5.975e-05
gsm8k_00075,math,number,"The state of Virginia had 3.79 inches of rain in March, 4.5 inches of rain in April, 3.95 inches of rain in May, 3.09 inches of rain in June and 4.67 inches in July.  What is the average rainfall amount, in inches, in Virginia?",227,49,the,5,0,0,1,9,0,0,0,0,0,424,78,other,0,1.0,1.0,0,8.44e-06,1,2.17e-05,1,0.0001463,1,4.304e-05,1,3.823e-05
strategyqa_7d6b8191f43b8526074e,commonsense,yesno,Will Chick Fil A be open on Halloween 2021? Answer yes or no.,61,13,will,1,0,0,1,5,0,0,0,1,0,361,60,yes,0,0.9,1.0,0,4.3e-06,1,3.374e-05,1,9.38e-05,0,2.532e-05,1,3.562e-05
mmlu_humanities_00085_high_school_world_history,humanities,choice,"This question refers to the following information.
By what principle of reason then, should these foreigners send in return a poisonous drug? Without meaning to say that the foreigners harbor such destructive intentions in their hearts, we yet positively assert that from their inordinate thirst after gain, they are perfectly careless about the injuries they inflict upon us! And such being the case, we should like to ask what has become of that conscience which heaven has implanted in the breasts of all men? We have heard that in your own country opium is prohibited with the utmost strictness and severity. This is a strong proof that you know full well how hurtful it is to mankind. Since you do not permit it to injure your own country, you ought not to have this injurious drug transferred to another country, and above all others, how much less to the Inner Land! Of the products which China exports to your foreign countries, there is not one which is not beneficial to mankind in some shape or other.
Lin Zexu, Chinese trade commissioner, letter to Queen Victoria, 1839
Which of the following background facts persuaded Europeans to engage in the actions described in the passage?
A. China had recently placed an embargo on exports of silk.
B. The price of Chinese tea had risen higher than European buyers found acceptable.
C. China refused to allow a meaningful volume of European goods to be sold there.
D. China's emperor had repeatedly insulted the British ambassador.",1485,253,this,1,0,1,3,26,0,1,1,1,1,726,128,other,0,0.85,1.0,0,1.466e-05,1,8.995e-05,1,0.0004093,1,0.00031189,1,0.00012726
mmlu_humanities_00133_philosophy,humanities,choice,"According to Sartre, what existentialists have in common is that they think that _____.
A. essence precedes existence
B. objectivity must be a starting point
C. existence is a myth
D. existence precedes essence",210,34,according,0,0,0,0,2,0,0,0,0,0,556,83,other,0,1.0,1.0,1,2.463e-05,1,1.64e-05,1,0.0001562,1,5.069e-05,1,6.725e-05
mmlu_humanities_00080_philosophy,humanities,choice,"Paley maintains that the key difference between the “contrivance” of a watch and that of nature is that the latter is _____.
A. simpler
B. more natural
C. older
D. greater and grander",183,33,paley,0,0,0,0,1,0,0,1,0,0,436,74,other,0,0.95,1.0,0,5.67e-06,1,1.3368e-05,1,0.0002146,1,4.283e-05,1,6.365e-05
strategyqa_7dc74fd9b62e514750c2,commonsense,yesno,Are queen bees unnecessary for growing apples? Answer yes or no.,64,11,are,0,0,0,1,2,0,0,0,1,0,264,39,no,0,1.0,1.0,0,3.46e-06,0,0.000124,1,0.000147,1,3.569e-05,0,3.4296e-05
sciq_00081,science,choice,"Canoe paddles, nutcracker, and hammer are examples of what type of simple machine?
A. lever
B. pivot
C. lock
D. handle",118,21,canoe,0,0,0,1,1,0,0,0,0,0,551,103,other,0,1.0,1.0,1,2.904e-05,1,1.0916e-05,1,0.0001482,1,2.772e-05,1,7.456e-05
mmlu_humanities_00036_philosophy,humanities,choice,"What are the two principal answers to whether life has any meaning for us?
A. the external view and the internal view
B. the pessimist'sview and the optimist'sview
C. the religious view and the liberal view
D. the theistic view and the agnostics view",250,46,what,0,0,0,1,1,0,1,0,0,0,796,133,other,0,0.95,1.0,0,9.86e-06,0,7.48e-05,0,0.0003016,0,7.145e-05,0,8.865e-05
gsm8k_00074,math,number,"Barbara got a great deal on a new chest of drawers, but she has to take a lot of paper out of the drawers to be able to use it. She found 3 bundles of colored paper, 2 bunches of white paper, and 5 heaps of scrap paper. If a bunch holds 4 sheets of paper, a bundle holds 2 sheets of paper, and a heap holds 20 sheets of paper, how many sheets of paper did Barbara remove from the chest of drawers?",397,84,barbara,6,0,0,1,4,0,0,0,0,1,474,85,other,0,1.0,1.0,1,9.22e-06,1,2.27e-05,0,0.000125,1,6.7325e-05,1,0.00010077
strategyqa_310968736449680ee61e,commonsense,yesno,Would Emma Roberts's Nancy Drew be considered a private investigator? Answer yes or no.,87,15,would,0,0,0,1,6,0,1,0,1,0,847,137,yes,0,0.85,1.0,0,8.94e-06,0,1.18e-05,0,0.0001385,0,2.608e-05,0,3.248e-05
sciq_00099,science,choice,"What is the movement of muscle in the digestive system called?
A. apoptosis
B. acid reflux
C. labor contractions
D. peristalsis",127,21,what,0,0,0,1,1,0,0,0,0,0,472,73,other,0,1.0,1.0,1,5.27e-06,1,7.266e-05,1,0.0001598,1,6.284e-05,1,4.1888e-05
strategyqa_f251e2b2a577f7dccc0e,commonsense,yesno,Would the Cookie Monster decline an offer of free Keebler products? Answer yes or no.,85,15,would,0,0,0,1,5,0,0,0,1,0,274,47,no,0,0.95,1.0,1,3.82e-06,1,1.07e-05,1,8.13e-05,1,2.01e-05,1,5.4072e-05
mmlu_humanities_00051_high_school_world_history,humanities,choice,"This question refers to the following information.
You are the United States,
you are the future invader
of the native America that has Indian blood,
that still prays to Jesus Christ and still speaks Spanish.
. . .
you are Alexander-Nebuchadnezzar.
You think that life is fire,
that progress is eruption,
that wherever you shoot
you hit the future.
No.
. . .
But our America, that has had poets
since the ancient times of Netzahualcoyotl,
. . .
that consulted the stars, that knew Atlantis
whose resounding name comes to us from Plato,
that since the remote times of its life
has lived on light, on fire, on perfume, on love,
America of the great Montezuma, of the Inca,
the fragrant America of Christopher Columbus,
Catholic America, Spanish America,
the America in which noble Cuauhtémoc said:
""I'm not in a bed of roses"", that America
that trembles in hurricanes and lives on love,
it lives, you men of Saxon eyes and barbarous soul.
And it dreams. And it loves, and it vibrates, and it is the daughter of the sun.
Be careful. Viva Spanish America!
There are a thousand cubs loosed from the Spanish lion.
Roosevelt, one would have to be, through God himself,
the-fearful rifleman and strong hunter,
to manage to grab us in your iron claws.
And, although you count on everything, you lack one thing: God!
—Adapted from ""To Roosevelt"" by Ruben Dario, 1904
What was the poet's purpose in discussing ""our America, that has had poets since ancient times, . . . that consulted the stars""?
A. Latin America has excelled in poetry.
B. Latin America had made significant scientific contributions.
C. Latin America had a prophecy regarding these events.
D. Latin America has had a rich culture for centuries.",1701,287,this,1,1,0,1,58,0,1,0,1,0,574,87,other,0,0.95,1.0,1,3.921e-05,1,0.00022675,1,0.0002789,1,8.802e-05,1,0.000159864
sciq_00139,science,choice,"A problem with using food chains to describe ecosystems is that some organisms can feed on or be consumed by species from more than one of what level?
A. biome level
B. trophic level
C. habitat level
D. pH level",211,40,a,0,0,0,1,0,0,0,1,0,0,419,70,other,0,1.0,1.0,1,5.21e-06,1,5.52e-05,1,0.0001249,1,5.282e-05,1,8.184e-05
strategyqa_cb08864902f07be76e77,commonsense,yesno,Do Flat Earthers doubt the existence of Earth's magnetic field? Answer yes or no.,81,15,do,0,0,0,1,5,0,1,0,1,0,357,63,yes,0,1.0,1.0,1,5.2e-06,0,1.36e-05,0,0.0001388,1,3.002e-05,1,5.275e-05
strategyqa_75b9eafe50ef589e8f78,commonsense,yesno,Would a snake have reasons to fear a honey badger? Answer yes or no.,68,14,would,0,0,0,1,2,0,0,0,1,0,344,55,yes,0,0.95,1.0,1,4.32e-06,1,4.02e-05,1,9.29e-05,1,2.912e-05,1,3.45e-05
mmlu_humanities_00094_high_school_world_history,humanities,choice,"This question refers to the following information.
""The question as to who, and what, is responsible for African underdevelopment can be answered at two levels. Firstly, the answer is that the operation of the imperialist system bears major responsibility for African economic retardation by draining African wealth and by making it impossible to develop more rapidly the resources of the continent. Secondly, one has to deal with those who manipulate the system and those who are either agents or unwitting accomplices of the said system. The capitalists of Western Europe were the ones who actively extended their exploitation from inside Europe to cover the whole of Africa.""
Walter Rodney, historian, How Europe Underdeveloped Africa, 1974
Which of the following best explains the importance of trading contacts with Europeans for Sub-Saharan Africans in the period 1450 to 1750 C.E.?
A. Sub-Saharan Africans relied on European merchants to sustain population growth through the constant importation of New World foodstuffs.
B. Sub-Saharan Africans consolidated new states and kingdoms by trading with the Europeans for firearms.
C. Sub-Saharan Africans depended on European merchants as the sole purchasers of slaves.
D. Sub-Saharan Africans allied with European powers to evict Muslim and Arab merchant princes from encroaching on their sovereignty.",1355,210,this,3,1,0,1,43,0,1,1,0,0,606,100,other,0,0.95,1.0,0,1.228e-05,1,0.000131859,1,0.0004316,1,0.00026795,1,0.00011708
strategyqa_b07fd13daa6e17e6273c,commonsense,yesno,Is a pottery kiln inappropriate for use with glass blowing? Answer yes or no.,77,14,is,0,0,0,1,2,0,0,0,1,0,478,76,yes,0,1.0,1.0,0,5.76e-06,0,4.342e-05,0,0.0001254,0,3.181e-05,0,3.479e-05
mmlu_humanities_00002_high_school_world_history,humanities,choice,"This question refers to the following information.
""When the gods fashioned Gilgamesh*, to him they gave a perfect form. The glorious sun Shamash bestowed upon him glory; Adad the terrible god of storms bestowed upon him courage. The great gods perfected his magnificence beyond all others, terrible like the great wild bull. Two thirds god they made him; one third man they made him.
Of Uruk, its great rampart he built, and the wall of the sacred Eanna temple, the holy sanctuary. Behold the outer walls which gleam with the brilliance of copper; see the inner wall which none might rival. Touch the threshold stone—it is from ancient days. Goest thou into the Eanna temple, yea, the dwelling place of Ishtar, the like of which no subsequent king or living man might equal. Ascend and walk about on the wall of Uruk, inspect the corner-stone, and examine its brick-work, whether its wall is not made of burned brick, and its foundation laid by the Seven Sages. One third for city, one third for garden, one third for field, and a precinct for the temple of Ishtar. These parts and the precinct comprise Uruk.""
The Epic of Gilgamesh, ca. 2100 B.C.E.
*Gilgamesh was a king of Uruk.
Which of the following best describes the origins of epic poetry such as the Epic of Gilgamesh?
A. The rise of a literate class of scribes in cities who could record poems
B. The rise of a merchant class in cities who could sponsor the creation of original art
C. The rise of a religious caste dedicated to solely recording the deeds of God-Kings
D. The rise of a warrior elite whose deeds were worthy of praise and recording",1607,291,this,1,1,1,1,38,0,1,0,1,1,540,90,other,0,0.95,1.0,1,1.416e-05,1,5.11e-05,0,0.0003377,1,7.18e-05,1,0.00014775
gsm8k_00089,math,number,"John climbs up 9 flights of stairs.  Each flight is 10 feet.  If each step is 18 inches, how many steps does he climb up?",121,25,john,3,0,0,1,3,0,0,0,0,1,522,97,other,0,1.0,1.0,1,8.32e-06,1,1.4577e-05,1,0.0001483,1,3.174e-05,1,6.92e-05
strategyqa_341375fa1c7cb93278f5,commonsense,yesno,Would 7 zucchini's satisfy potassium USDA daily recommendation? Answer yes or no.,81,13,would,1,0,0,1,2,0,1,0,1,0,399,68,no,0,0.95,1.0,0,5.59e-06,0,1.207e-05,0,0.0002157,0,3.368e-05,1,5.526e-05
sciq_00096,science,choice,"What is the name of the galaxy we live in?
A. Centaurus A
B. milky way
C. Andromeda
D. Bode's Galaxy",100,22,what,0,0,0,1,5,0,1,0,0,0,245,46,other,0,1.0,1.0,1,4.98e-06,1,1.57e-05,1,9.76e-05,1,3.224e-05,1,4.585e-05
sciq_00017,science,choice,"Potential energy is not only associated with the location of matter, but also with the structure of matter. even a spring on the ground has potential energy if it is what?
A. compressed
B. watched
C. coupled
D. ignored",218,39,potential,0,0,0,1,1,0,0,0,1,1,267,47,other,0,1.0,1.0,1,4.43e-06,1,1.271e-05,1,0.0001202,1,3.924e-05,1,4.996e-05
strategyqa_1eb8a833f2f5f1698b52,commonsense,yesno,Are Tom and Jerry featured in a ride at Disneyland? Answer yes or no.,69,14,are,0,0,0,1,5,0,0,0,1,0,368,60,no,0,0.95,1.0,1,5.14e-06,1,7.899e-06,1,9.04e-05,1,3.622e-05,1,5.533e-05
mmlu_humanities_00017_philosophy,humanities,choice,"Why is it ""easier said than done"" to ensure that the principle of informed consent is adhered to?
A. It is not practicable to present every participant with all the information about the study.
B. Sometimes it is desirable to withhold certain pieces of information, such as the length of time an interview will take.
C. If the participants knew exactly what the researcher was intending to study, they might change their behavior.
D. All of the above.",451,78,why,0,0,0,1,5,0,1,1,1,1,671,98,other,0,0.95,1.0,0,8.36e-06,1,8.358e-05,1,0.000229,1,3.8e-05,1,8.337e-05
mmlu_humanities_00054_world_religions,humanities,choice," How old was Guru Nanak when he started to preach the message of the divine Name?
A. 30
B. 40
C. 33
D. 52",105,24,how,4,0,0,1,4,0,0,0,0,0,225,38,other,0,1.0,1.0,1,5.12e-06,1,1.6642e-05,1,0.0001128,1,3.7635e-05,1,6.991e-05
gsm8k_00084,math,number,"It’s spring! The gardener at Parc Municipal orders flowers. He takes 250 tulips, 375 carnations and 320 roses. Each flower is sold for 2€. Calculate the total expenses.",168,29,it,4,0,0,0,7,0,0,0,0,1,647,99,other,0,1.0,1.0,1,7.54e-06,1,1.3571e-05,1,0.0001266,1,2.858e-05,1,5.392e-05
strategyqa_3b70f1178fdb45ad2a24,commonsense,yesno,Does Ariana Grande's signature style combine comfort items and high fashion? Answer yes or no.,94,16,does,0,0,0,1,4,0,1,0,1,0,481,70,yes,0,0.95,1.0,1,5.94e-06,1,3.78e-05,1,0.0001363,1,3.088e-05,1,4.5272e-05
sciq_00095,science,choice,"Tissues of marine bony fishes gain what from their surroundings?
A. excess salts
B. mercury
C. absorb salts
D. toxins",117,20,tissues,0,0,0,1,1,0,0,0,0,0,243,37,other,0,1.0,1.0,1,3.71e-06,1,4.23085e-05,1,0.0003342,0,2.626e-05,1,6.343e-05
sciq_00122,science,choice,"What term means the amount of a substance required to form a saturated solution in a given amount of solvent at a specified temperature?
A. solubility
B. turbidity
C. concentration
D. viscosity",193,32,what,0,0,0,1,1,0,0,0,0,0,526,91,other,0,1.0,1.0,1,7.32e-06,1,1.78e-05,1,0.000225,1,4.498e-05,1,7.386e-05
mmlu_humanities_00107_philosophy,humanities,choice,"According to Socrates, a clear sign that a person has _____ is her exclusive pursuit of social status, wealth, power, and pleasure.
A. philosophical ambition
B. worldly wisdom
C. exceptional desires
D. an unhealthy soul",219,35,according,0,0,0,0,2,0,0,0,0,0,800,132,other,0,0.95,1.0,0,7.97e-06,1,3.359e-05,1,0.0001621,1,4.936e-05,1,5.573e-05
mmlu_humanities_00071_high_school_world_history,humanities,choice,"This question refers to the following information.
""The question as to who, and what, is responsible for African underdevelopment can be answered at two levels. Firstly, the answer is that the operation of the imperialist system bears major responsibility for African economic retardation by draining African wealth and by making it impossible to develop more rapidly the resources of the continent. Secondly, one has to deal with those who manipulate the system and those who are either agents or unwitting accomplices of the said system. The capitalists of Western Europe were the ones who actively extended their exploitation from inside Europe to cover the whole of Africa.""
Walter Rodney, historian, How Europe Underdeveloped Africa, 1974
Based on your knowledge of world history, which of the following contributed LEAST to Europe's ability to penetrate Africa in the period 1750 to 1900 C.E.?
A. The invention of the machine gun
B. The invention of vaccines for tropical diseases
C. The development of the joint-stock company
D. The invention of steam-powered ships",1072,173,this,3,1,0,1,25,0,1,1,0,0,794,121,other,0,0.95,1.0,0,1.278e-05,0,3.5267e-05,1,0.0005637,0,8.602e-05,1,0.0002014
sciq_00098,science,choice,"Gas, liquid, and solid describe what property of matter?
A. states
B. Physical
C. Chemical
D. Quatitative",105,17,gas,0,0,0,1,4,0,0,0,0,0,282,43,other,0,1.0,1.0,0,4.72e-06,1,4.0365e-05,1,0.0001117,1,2.8155e-05,1,4.033e-05
